NC_004747.1,Firmicutes
NC_004758.1,Proteobacteria
NC_004767.1,Proteobacteria
NC_004768.1,Actinobacteria
NC_004769.1,Actinobacteria
NC_004770.1,Actinobacteria
NC_004771.1,Proteobacteria
NC_004772.1,Proteobacteria
NC_004773.1,Actinobacteria
NC_004774.1,Actinobacteria
NC_004808.2,Actinobacteria
NC_004811.1,Bacteroidetes
NC_004822.1,Tenericutes
NC_004832.1,Firmicutes
NC_004834.1,Proteobacteria
NC_004835.1,Proteobacteria
NC_004836.1,Proteobacteria
NC_004837.1,Proteobacteria
NC_004838.1,Proteobacteria
NC_004839.1,Proteobacteria
NC_004843.1,Proteobacteria
NC_004845.1,Proteobacteria
NC_004846.1,Proteobacteria
NC_004847.1,Firmicutes
NC_004851.1,Proteobacteria
NC_004854.1,Actinobacteria
NC_004900.1,Actinobacteria
NC_004922.1,Firmicutes
NC_004923.1,Proteobacteria
NC_004924.1,Proteobacteria
NC_004925.1,Proteobacteria
NC_004929.1,Proteobacteria
NC_004930.1,Firmicutes
NC_004931.1,Actinobacteria
NC_004932.1,Firmicutes
NC_004933.1,Actinobacteria
NC_004934.1,Actinobacteria
NC_004936.1,Proteobacteria
NC_004937.1,Firmicutes
NC_004938.1,Firmicutes
NC_004939.1,Actinobacteria
NC_004940.1,Proteobacteria
NC_004941.1,Actinobacteria
NC_004942.1,Firmicutes
NC_004943.1,Actinobacteria
NC_004944.1,Firmicutes
NC_004945.1,Actinobacteria
NC_004947.1,Firmicutes
NC_004949.1,Proteobacteria
NC_004950.1,Proteobacteria
NC_004951.1,Proteobacteria
NC_004952.1,Proteobacteria
NC_004953.1,Actinobacteria
NC_004954.1,Actinobacteria
NC_004955.1,Firmicutes
NC_004956.1,Proteobacteria
NC_004957.1,Firmicutes
NC_004958.1,Firmicutes
NC_004959.1,Firmicutes
NC_004960.1,Firmicutes
NC_004961.1,Proteobacteria
NC_004962.1,Firmicutes
NC_004963.1,Actinobacteria
NC_004964.1,Cyanobacteria
NC_004965.1,Proteobacteria
NC_004966.1,Firmicutes
NC_004968.1,Firmicutes
NC_004969.1,Proteobacteria
NC_004971.1,Spirochaetes
NC_004972.1,Proteobacteria
NC_004974.1,Fusobacteria
NC_004977.1,Firmicutes
NC_004978.1,Actinobacteria
NC_004979.1,Firmicutes
NC_004980.1,Firmicutes
NC_004981.2,Firmicutes
NC_004982.1,Proteobacteria
NC_004984.1,Cyanobacteria
NC_004985.1,Firmicutes
NC_004986.1,Firmicutes
NC_004987.1,Proteobacteria
NC_004988.1,Spirochaetes
NC_004990.1,Cyanobacteria
NC_004991.1,Proteobacteria
NC_004992.1,Firmicutes
NC_004997.1,Proteobacteria
NC_004998.1,Proteobacteria
NC_004999.1,Proteobacteria
NC_005000.1,Firmicutes
NC_005001.1,Actinobacteria
NC_005002.1,Proteobacteria
NC_005003.1,Firmicutes
NC_005004.1,Firmicutes
NC_005005.1,Firmicutes
NC_005006.1,Firmicutes
NC_005007.1,Firmicutes
NC_005008.1,Firmicutes
NC_005009.1,Proteobacteria
NC_005010.1,Firmicutes
NC_005011.1,Firmicutes
NC_005012.1,Proteobacteria
NC_005013.1,Firmicutes
NC_005014.1,Proteobacteria
NC_005015.1,Proteobacteria
NC_005016.1,Actinobacteria
NC_005017.1,Proteobacteria
NC_005018.1,Proteobacteria
NC_005019.1,Proteobacteria
NC_005020.1,Firmicutes
NC_005021.1,Firmicutes
NC_005022.1,Firmicutes
NC_005023.1,Proteobacteria
NC_005024.1,Firmicutes
NC_005026.1,Bacteroidetes
NC_005054.1,Firmicutes
NC_005073.1,Actinobacteria
NC_005076.1,Firmicutes
NC_005088.1,Proteobacteria
NC_005098.1,Firmicutes
NC_005127.1,Firmicutes
NC_005128.1,Proteobacteria
NC_005205.1,Proteobacteria
NC_005206.1,Actinobacteria
NC_005207.3,Firmicutes
NC_005208.1,Firmicutes
NC_005211.1,Proteobacteria
NC_005229.1,Cyanobacteria
NC_005230.1,Cyanobacteria
NC_005231.1,Cyanobacteria
NC_005232.1,Cyanobacteria
NC_005240.1,Proteobacteria
NC_005241.1,Proteobacteria
NC_005242.1,Firmicutes
NC_005243.1,Firmicutes
NC_005244.2,Proteobacteria
NC_005245.1,Proteobacteria
NC_005246.1,Proteobacteria
NC_005247.1,Proteobacteria
NC_005248.1,Proteobacteria
NC_005249.1,Proteobacteria
NC_005250.1,Proteobacteria
NC_005297.1,Proteobacteria
NC_005307.1,Actinobacteria
NC_005308.1,Firmicutes
NC_005311.1,Firmicutes
NC_005312.1,Proteobacteria
NC_005322.1,Firmicutes
NC_005323.1,Firmicutes
NC_005324.1,Proteobacteria
NC_005325.1,Proteobacteria
NC_005326.1,Firmicutes
NC_005327.1,Proteobacteria
NC_005328.1,Firmicutes
NC_005329.1,Proteobacteria
NC_005564.1,Firmicutes
NC_005565.1,Firmicutes
NC_005566.1,Firmicutes
NC_005567.1,Firmicutes
NC_005570.1,Proteobacteria
NC_005701.1,Proteobacteria
NC_005705.1,Actinobacteria
NC_005706.1,Proteobacteria
NC_005707.1,Firmicutes
NC_005792.1,Deinococcus-Thermus
NC_005793.2,Proteobacteria
NC_005813.1,Proteobacteria
NC_005814.1,Proteobacteria
NC_005815.1,Proteobacteria
NC_005816.1,Proteobacteria
NC_005838.1,Deinococcus-Thermus
NC_005862.1,Proteobacteria
NC_005863.1,Proteobacteria
NC_005871.1,Proteobacteria
NC_005908.1,Firmicutes
NC_005909.1,Proteobacteria
NC_005910.1,Proteobacteria
NC_005911.1,Proteobacteria
NC_005913.1,Tenericutes
NC_005914.1,Tenericutes
NC_005915.1,Proteobacteria
NC_005916.1,Actinobacteria
NC_005917.1,Proteobacteria
NC_005918.1,Proteobacteria
NC_005919.1,Proteobacteria
NC_005920.1,Proteobacteria
NC_005921.1,Proteobacteria
NC_005922.1,Proteobacteria
NC_005923.1,Proteobacteria
NC_005951.1,Firmicutes
NC_005952.1,Firmicutes
NC_005970.1,Proteobacteria
NC_006128.1,Spirochaetes
NC_006129.1,Spirochaetes
NC_006130.1,Firmicutes
NC_006134.1,Proteobacteria
NC_006135.1,Proteobacteria
NC_006139.1,Proteobacteria
NC_006140.1,Proteobacteria
NC_006143.1,Proteobacteria
NC_006145.1,Firmicutes
NC_006153.2,Proteobacteria
NC_006154.1,Proteobacteria
NC_006257.1,Firmicutes
NC_006258.1,Actinobacteria
NC_006277.2,Proteobacteria
NC_006278.1,Firmicutes
NC_006297.1,Bacteroidetes
NC_006298.1,Proteobacteria
NC_006323.1,Proteobacteria
NC_006362.1,Actinobacteria
NC_006363.1,Actinobacteria
NC_006365.1,Proteobacteria
NC_006366.1,Proteobacteria
NC_006375.1,Firmicutes
NC_006376.1,Firmicutes
NC_006377.1,Firmicutes
NC_006399.1,Firmicutes
NC_006400.1,Tenericutes
NC_006427.1,Firmicutes
NC_006462.1,Deinococcus-Thermus
NC_006463.1,Deinococcus-Thermus
NC_006466.1,Proteobacteria
NC_006509.1,Firmicutes
NC_006525.1,Proteobacteria
NC_006528.1,Thermotogae
NC_006529.1,Firmicutes
NC_006530.1,Firmicutes
NC_006569.1,Proteobacteria
NC_006571.1,Actinobacteria
NC_006578.1,Firmicutes
